state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
WA,tract,perim,lcut,10,766676,774380,1784,4986,1060,60.01,3.87,55.11,73.10336357,23.05487644,600.04,9,1,2,0
WA,tract,invpp,lcut,10,766676,774380,1784,4986,1060,60.01,1.4,354.7,2.714449979,0,600.89,9,1,2,0
VA,tract,cut,lcut,11,780749,788595,2198,6064,1247,60.02,1.39,102.36,no_solution_found,0,600.04,9,1,0,0
VA,tract,perim,lcut,11,780749,788595,2198,6064,1247,60.02,1.42,66.45,59.64600521,24.61953307,600.05,9,1,2,0
VA,tract,invpp,lcut,11,780749,788595,2198,6064,1247,60.01,1.36,490.5,no_solution_found,0,600.02,9,1,0,0
NJ,tract,cut,lcut,12,770213,777953,2181,6061,1235,60.02,1.7,48.07,no_solution_found,0,600.04,9,1,0,0
NJ,tract,perim,lcut,12,770213,777953,2181,6061,1235,60.02,1.69,39.89,no_solution_found,8.541392228,600.05,9,1,0,0
NJ,tract,invpp,lcut,12,770213,777953,2181,6061,1235,60.03,1.75,387.27,no_solution_found,0,600.02,9,1,0,0
MI,tract,cut,lcut,13,771304,779055,3017,7989,1760,60.02,3.04,90.48,no_solution_found,0,600.07,9,1,0,0
MI,tract,perim,lcut,13,771304,779055,3017,7989,1760,60.02,3.01,60.98,no_solution_found,29.10873898,600.05,9,1,0,0
MI,tract,invpp,lcut,13,771304,779055,3017,7989,1760,60.03,3.04,745.19,no_solution_found,0,600.03,9,1,0,0
NC,tract,cut,lcut,14,741943,749398,2672,7422,1409,60.03,2.22,391.96,no_solution_found,0,600.06,9,1,0,0
NC,tract,perim,lcut,14,741943,749398,2672,7422,1409,60.03,2.35,568.66,no_solution_found,22.66793883,600.07,9,1,0,0
NC,tract,invpp,lcut,14,741943,749398,2672,7422,1409,60.04,2.17,2349.41,no_solution_found,0,600.02,9,1,0,0
GA,tract,cut,lcut,14,761311,768961,2796,7762,1526,60.03,2.39,238.8,no_solution_found,0,600.09,9,1,0,0
GA,tract,perim,lcut,14,761311,768961,2796,7762,1526,60.03,2.49,409.79,no_solution_found,21.00844604,600.09,9,1,0,0
GA,tract,invpp,lcut,14,761311,768961,2796,7762,1526,60.03,2.39,647.42,no_solution_found,4.06E-06,600.03,9,1,0,0
OH,tract,cut,lcut,15,782697,790563,3168,8747,1764,60.03,3.61,600.49,no_solution_found,0,600.07,9,1,0,0
OH,tract,perim,lcut,15,782697,790563,3168,8747,1764,60.04,3.54,287.73,no_solution_found,16.51878092,600.07,9,1,0,0
OH,tract,invpp,lcut,15,782697,790563,3168,8747,1764,60.03,3.52,1331.31,no_solution_found,0,600.04,9,1,0,0
IL,tract,cut,lcut,17,749909,757445,3265,8728,1724,60.04,8.9,1023.19,no_solution_found,0,600.08,9,1,0,0
IL,tract,perim,lcut,17,749909,757445,3265,8728,1724,60.04,8.82,232.62,no_solution_found,22.49750394,600.11,9,1,0,0
IL,tract,invpp,lcut,17,749909,757445,3265,8728,1724,60.04,8.83,7880.02,no_solution_found,0,600.04,9,1,0,0
PA,tract,cut,lcut,17,761041,768689,3446,9641,1725,60.07,4.12,598.17,no_solution_found,0,600.09,9,1,0,0
